#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes core	Computed types
Salmonella enterica	51-85	"51-85","BCW_2607","CFSAN005618","SRS519859"	60:z41:-	PDT000002361.4	2020-04-27T12:13:58Z	Senegal	human	clinical				SAMN02368166			antigen_formula=60:z41:-,serotype=60:z41:-
Salmonella enterica		"2010K-0351","SRS634629"	Enteritidis	PDT000044044.2	2014-11-19T17:28:39Z	Mauritius	human	clinical	PDS000065758.734	0	0	SAMN02839463	GCA_010667525.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica		"2010K-0362","SRS634631"	Enteritidis	PDT000044046.2	2014-11-19T17:28:39Z	Mauritius	human	clinical	PDS000065758.734	2	0	SAMN02839465	GCA_010390435.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	BCW_2685	"7033","BCW_2685","SRS528689"	Enteritidis	PDT000197485.1	2017-03-22T15:48:08Z	Mauritius	human	clinical	PDS000065758.734	2	0	SAMN02368563	GCA_002066435.1		antigen_formula=2:g,m:-,serotype=Enteritidis
Salmonella enterica	WR_05-8570	"ERS4873236","SAL_BB1405AA","WR_05-8570"	enteritidis	PDT000908901.1	2020-12-11T23:27:46Z	Senegal	human	clinical				SAMEA7112688			antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	WR_05-8561	"ERS4873244","SAL_BB1213AA","WR_05-8561"	enteritidis	PDT000908909.1	2020-12-11T23:27:48Z	Senegal	human	clinical	PDS000121788.59	6	6	SAMEA7112696			antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	WR_04-7581	"ERS4873264","SAL_BB1535AA","WR_04-7581"	enteritidis	PDT000908929.1	2020-12-11T23:27:54Z	Senegal	human	clinical	PDS000107958.1	1		SAMEA7112716		blaTEM-1=COMPLETE	antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	WR_05-8606	"ERS4873292","SAL_BB1615AA","WR_05-8606"	enteritidis	PDT000908957.1	2020-12-11T23:28:03Z	Senegal	human	clinical	PDS000121788.59	15	20	SAMEA7112744		aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,catA1=COMPLETE,dfrA1=COMPLETE,gyrA_D87N=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	WR_04-7417	"ERS4873311","SAL_BB1533AA","WR_04-7417"	enteritidis	PDT000908976.1	2020-12-11T23:28:10Z	Senegal	human	clinical	PDS000107958.1	10		SAMEA7112763		blaTEM-1=COMPLETE	antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	WR_04-7794	"ERS4873359","SAL_BB1749AA","WR_04-7794"	enteritidis	PDT000909024.1	2020-12-11T23:28:25Z	Senegal	human	clinical	PDS000066370.4			SAMEA7112811		aph(3'')-Ib=PARTIAL,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,dfrA14=COMPLETE,mph(A)=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	WR_04-7798	"ERS4873386","SAL_BB1754AA","WR_04-7798"	enteritidis	PDT000909051.1	2020-12-11T23:28:34Z	Senegal	human	clinical	PDS000042887.4	25		SAMEA7112838			antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	WR_05-8577	"ERS4873609","SAL_BB1404AA","WR_05-8577"	enteritidis	PDT000909274.1	2020-12-11T23:29:44Z	Senegal	human	clinical				SAMEA7113061			antigen_formula=9:g,m:-,serotype=Gallinarum or Enteritidis
Salmonella enterica	07-7577	"07-7577","ERS4873885","SAL_BB1622AA"	Oranienburg	PDT000909550.1	2020-12-11T23:31:07Z	Senegal	human	clinical				SAMEA7113337		fosA7=PARTIAL	antigen_formula=7:m,t:-,serotype=Oranienburg
Salmonella enterica	WR_05-8565	"ERS4874240","SAL_BB1407AA","WR_05-8565"	enteritidis	PDT000909905.1	2020-12-11T23:32:41Z	Senegal	human	clinical	PDS000107958.1	1		SAMEA7113693		blaTEM-1=COMPLETE	antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	WR_05-8559	"ERS4874248","SAL_BB1561AA","WR_05-8559"	enteritidis	PDT000909913.1	2020-12-11T23:32:43Z	Senegal	human	clinical	PDS000077240.1	7		SAMEA7113701			antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	08-6461	"08-6461","ERS4874301","SAL_BB1905AA"	Oranienburg	PDT000909966.1	2020-12-11T23:32:57Z	Senegal	human	clinical	PDS000043554.5	26		SAMEA7113754		fosA7=PARTIAL	antigen_formula=7:m,t:-,serotype=Oranienburg
Salmonella enterica	WR_05-8550	"ERS4874320","SAL_BB1982AA","WR_05-8550"	enteritidis	PDT000909985.1	2020-12-12T02:30:17Z	Senegal	human	clinical	PDS000064987.10	2	1	SAMEA7113773		aac(3)-IVa=COMPLETE,aadA1=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,aph(4)-Ia=COMPLETE,aph(6)-Id=PARTIAL,cmlA1=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	06-4752	"06-4752","ERS4874321","SAL_BB1991AA"	Oranienburg	PDT000909986.1	2020-12-12T02:30:17Z	Senegal	human	clinical	PDS000080406.2	16		SAMEA7113774		fosA7=PARTIAL	antigen_formula=7:m,t:-,serotype=Oranienburg
Salmonella enterica	WR_04-7368	"ERS4874834","SAL_BB1532AA","WR_04-7368"	enteritidis	PDT000910498.1	2020-12-12T02:33:27Z	Senegal	human	clinical				SAMEA7114288			antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	WR_04-8549	"ERS4875040","SAL_BB1983AA","WR_04-8549"	enteritidis	PDT000910704.1	2020-12-12T02:34:30Z	Senegal	human	clinical				SAMEA7114494			antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	WR_05-8555	"ERS4875080","SAL_BB1984AA","WR_05-8555"	enteritidis	PDT000910744.1	2020-12-12T02:34:41Z	Senegal	human	clinical	PDS000077240.1	7		SAMEA7114534			antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	WR_05-8615	"ERS4875286","SAL_BB1616AA","WR_05-8615"	enteritidis	PDT000910950.1	2020-12-12T02:35:43Z	Senegal	human	clinical	PDS000065758.734	25	32	SAMEA7114740			antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	WR_04-7795	"ERS4875310","SAL_BB1750AA","WR_04-7795"	enteritidis	PDT000910974.1	2020-12-12T02:35:50Z	Senegal	human	clinical	PDS000107958.1	3		SAMEA7114764		blaTEM-1=COMPLETE	antigen_formula=-:-:-,serotype=I -:-:-
Salmonella enterica	WR_04-7796	"ERS4875311","SAL_BB1752AA","WR_04-7796"	enteritidis	PDT000910975.1	2020-12-12T02:35:50Z	Senegal	human	clinical	PDS000107958.1	3		SAMEA7114765		blaTEM-1=COMPLETE	antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	WR_04-7901	"ERS4875312","SAL_BB1755AA","WR_04-7901"	enteritidis	PDT000910976.1	2020-12-12T02:35:51Z	Senegal	human	clinical				SAMEA7114766		blaTEM-1=COMPLETE,tet(A)=COMPLETE	antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	WR_05-8556	"ERS4875348","SAL_BB1987AA","WR_05-8556"	enteritidis	PDT000911012.1	2020-12-12T02:36:01Z	Senegal	human	clinical	PDS000084711.201	6	16	SAMEA7114802			antigen_formula=9:g,m:-,serotype=Enteritidis
